PLAYER_NAME,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
Cody Martin,CHA,24.0,1.4,2.2,0.619,0.0,0.1,0.286,0.0,0.1,0.0,0.0,0.2,0.286,0.2,1.0,0.196,0.2,0.8,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Zeller,CHA,27.0,3.6,5.7,0.625,0.4,1.0,0.375,0.0,0.2,0.154,0.0,0.0,1.0,0.1,0.2,0.417,0.2,1.1,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Sexton,CLE,21.0,3.8,6.6,0.576,1.0,2.5,0.39,1.0,2.2,0.472,0.6,1.3,0.419,0.4,1.0,0.412,1.1,3.0,0.365,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Cory Joseph,SAC,28.0,0.8,1.2,0.608,0.4,0.9,0.429,0.3,0.7,0.364,0.2,0.5,0.371,0.5,1.3,0.341,0.4,1.1,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Courtney Lee,DAL,34.0,0.5,0.6,0.733,0.2,0.4,0.5,0.0,0.1,0.0,0.1,0.3,0.429,0.7,1.3,0.533,0.2,0.8,0.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristiano Felicio,CHI,27.0,1.5,2.1,0.702,0.0,0.0,0.0,0.1,0.2,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Angelo Russell,MIN,24.0,1.3,2.0,0.652,0.6,1.6,0.342,1.0,2.5,0.398,1.4,2.6,0.53,0.9,2.1,0.411,2.6,7.0,0.366,0.3,0.9,0.351,0.0,0.0,0.0,0.0,0.0,0.0
D.J. Augustin,ORL,32.0,1.1,2.2,0.486,0.2,0.7,0.222,0.4,0.8,0.512,0.3,0.8,0.395,0.3,0.8,0.325,1.0,2.6,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
D.J. Wilson,MIL,24.0,0.6,0.9,0.704,0.1,0.3,0.375,0.0,0.2,0.167,0.1,0.1,0.667,0.3,0.7,0.5,0.2,1.2,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaQuan Jeffries,SAC,22.0,0.3,0.3,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.5,0.5,0.0,0.0,0.0,,,,0.0,0.0,0.0
Damian Jones,ATL,24.0,2.1,2.8,0.748,0.0,0.2,0.222,0.0,0.0,0.0,0.0,0.1,0.333,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damian Lillard,POR,29.0,3.9,6.9,0.569,0.2,0.7,0.231,0.5,1.0,0.458,0.5,1.1,0.484,0.7,2.0,0.365,2.5,6.4,0.392,0.8,1.9,0.412,0.2,0.3,0.667,0.0,0.1,0.333
Damion Lee,GSW,27.0,1.2,2.2,0.575,0.4,0.9,0.432,0.6,1.3,0.435,0.4,1.0,0.404,0.6,1.6,0.338,1.2,3.4,0.347,0.0,0.1,0.667,0.0,0.0,0.0,0.0,0.0,0.0
